DATE,DEF,NDX 100 (Stooq ^NDX),"TQQQ (YF+SS 1%, ER 0.95%)","QLD (YF+SS 1%, ER 0.95%)",S&P 500 (Stooq ^SPX),1.00%,<- SS,0.95%,<- ER,TQQQ NO TAX,QLD NO TAX
1992. 3. 19,4.09,342.55,1.8044,0.52,409.8,,,,,0.27557,0.22064
1992. 3. 20,3.9,340.86,1.7771,0.51,411.3,,,,,0.2715,0.21847
1992. 3. 23,3.98,339.04,1.7471,0.51,409.91,,,,,0.26715,0.21613
1992. 3. 24,3.86,336.93,1.7139,0.5,408.88,,,,,0.26216,0.21344
1992. 3. 25,3.95,337.65,1.7244,0.5,407.52,,,,,0.26384,0.21436
1992. 3. 26,4.07,333.3,1.6572,0.49,407.86,,,,,0.25364,0.20883
1992. 3. 27,3.85,324.22,1.5213,0.46,403.5,,,,,0.23291,0.19746
1992. 3. 30,3.94,322.35,1.4936,0.46,403,,,,,0.22888,0.19518
1992. 3. 31,4.07,323.05,1.5029,0.46,403.69,,,,,0.23037,0.19603
1992. 4. 1,4.98,323.92,1.5146,0.46,404.23,,,,,0.23224,0.19708
1992. 4. 2,4.15,317.67,1.4264,0.44,400.5,,,,,0.21879,0.18948
1992. 4. 3,3.97,316.39,1.4087,0.44,401.55,,,,,0.21615,0.18795
1992. 4. 6,3.99,324.55,1.5164,0.46,405.59,,,,,0.23287,0.19764
1992. 4. 7,3.92,312.95,1.3533,0.43,398.06,,,,,0.2079,0.18352
1992. 4. 8,3.87,310.85,1.3257,0.42,394.5,,,,,0.20372,0.18105
1992. 4. 9,3.76,319.54,1.4365,0.45,400.64,,,,,0.2208,0.19118
1992. 4. 10,3.44,312.98,1.3476,0.43,404.29,,,,,0.2072,0.18333
1992. 4. 13,3.74,317.15,1.4004,0.44,406.08,,,,,0.21548,0.18821
1992. 4. 14,3.68,320.55,1.445,0.45,412.39,,,,,0.22241,0.19225
1992. 4. 15,4.02,326.07,1.5192,0.46,416.28,,,,,0.23391,0.19887
1992. 4. 16,3.78,319.23,1.4232,0.44,416.04,,,,,0.21919,0.19052
1992. 4. 20,3.75,307.88,1.2697,0.41,410.18,,,,,0.19581,0.17698
1992. 4. 21,3.83,305.62,1.2414,0.41,410.26,,,,,0.19149,0.17438
1992. 4. 22,3.72,309.54,1.2888,0.42,409.81,,,,,0.19886,0.17885
1992. 4. 23,3.68,307.52,1.2632,0.41,411.6,,,,,0.19497,0.17652
1992. 4. 24,3.63,303.82,1.2172,0.4,409.02,,,,,0.18793,0.17227
1992. 4. 27,3.84,299.65,1.1661,0.39,408.45,,,,,0.18019,0.16754
1992. 4. 28,3.5,294.62,1.107,0.38,409.11,,,,,0.17112,0.16192
1992. 4. 29,3.62,302.98,1.201,0.4,412.02,,,,,0.18569,0.1711
1992. 4. 30,3.85,307.86,1.2586,0.41,414.95,,,,,0.19466,0.17662
1992. 5. 1,3.75,307.48,1.2536,0.41,412.53,,,,,0.19394,0.17618
1992. 5. 4,3.8,310.71,1.292,0.42,416.91,,,,,0.20005,0.17988
1992. 5. 5,3.77,314.77,1.3423,0.43,416.84,,,,,0.20789,0.18458
1992. 5. 6,3.71,315.11,1.3463,0.43,416.79,,,,,0.20857,0.18498
1992. 5. 7,3.74,312.73,1.3154,0.42,415.85,,,,,0.20384,0.18219
1992. 5. 8,3.71,311.27,1.2966,0.42,416.05,,,,,0.20098,0.18049
1992. 5. 11,3.88,311.9,1.3033,0.42,418.49,,,,,0.20221,0.18122
1992. 5. 12,3.75,310.04,1.2796,0.42,416.29,,,,,0.19859,0.17906
1992. 5. 13,4.37,308.75,1.2633,0.41,416.45,,,,,0.19611,0.17757
1992. 5. 14,3.93,304.55,1.2113,0.4,413.14,,,,,0.18811,0.17273
1992. 5. 15,3.96,303.02,1.1927,0.4,410.09,,,,,0.18527,0.171
1992. 5. 18,3.88,304.58,1.2101,0.4,412.81,,,,,0.18813,0.17276
1992. 5. 19,3.8,306.41,1.2315,0.41,416.37,,,,,0.19152,0.17484
1992. 5. 20,3.75,309.55,1.269,0.41,415.39,,,,,0.19741,0.17842
1992. 5. 21,3.85,307.94,1.2488,0.41,412.6,,,,,0.19433,0.17656
1992. 5. 22,3.74,308.38,1.2538,0.41,414.02,,,,,0.19516,0.17707
1992. 5. 26,4.02,305.89,1.222,0.4,411.41,,,,,0.19044,0.17421
1992. 5. 27,3.78,308.08,1.2479,0.41,412.17,,,,,0.19453,0.1767
1992. 5. 28,3.87,311.98,1.2949,0.42,416.74,,,,,0.20191,0.18118
1992. 5. 29,3.8,315.3,1.3359,0.43,415.35,,,,,0.20836,0.18503
1992. 6. 1,3.96,318.98,1.3815,0.44,417.3,,,,,0.21566,0.18935
1992. 6. 2,3.89,317.23,1.3583,0.43,413.5,,,,,0.21211,0.18727
1992. 6. 3,3.82,317.34,1.3593,0.43,414.59,,,,,0.21233,0.1874
1992. 6. 4,3.78,315.93,1.3408,0.43,413.26,,,,,0.2095,0.18574
1992. 6. 5,3.61,313.24,1.3062,0.42,413.48,,,,,0.20415,0.18258
1992. 6. 8,3.72,310.23,1.2674,0.41,413.36,,,,,0.19826,0.17907
1992. 6. 9,3.57,304.86,1.2012,0.4,410.06,,,,,0.18796,0.17287
1992. 6. 10,3.96,302.6,1.1742,0.39,407.25,,,,,0.18378,0.1703
1992. 6. 11,3.8,302.58,1.1736,0.39,409.05,,,,,0.18375,0.17028
1992. 6. 12,3.65,304.11,1.1911,0.4,409.76,,,,,0.18654,0.172
1992. 6. 15,3.88,303.86,1.1871,0.4,410.29,,,,,0.18608,0.17172
1992. 6. 16,3.74,299.2,1.1322,0.38,408.32,,,,,0.17751,0.16645
1992. 6. 17,3.72,293.4,1.066,0.37,402.26,,,,,0.16719,0.16
1992. 6. 18,3.71,291.93,1.0497,0.37,400.96,,,,,0.16468,0.1584
1992. 6. 19,3.66,296.86,1.1025,0.38,403.67,,,,,0.17302,0.16375
1992. 6. 22,3.85,295.24,1.0835,0.37,403.4,,,,,0.17019,0.16196
1992. 6. 23,3.7,297.45,1.1076,0.38,404.04,,,,,0.17401,0.16438
1992. 6. 24,3.81,295.29,1.0831,0.37,403.84,,,,,0.17022,0.162
1992. 6. 25,3.87,291.26,1.0385,0.36,403.12,,,,,0.16325,0.15758
1992. 6. 26,3.67,290.03,1.025,0.36,403.45,,,,,0.16118,0.15624
1992. 6. 29,3.8,300.8,1.1383,0.39,408.94,,,,,0.17914,0.16785
1992. 6. 30,4.53,301.23,1.1429,0.39,408.14,,,,,0.17991,0.16833
1992. 7. 1,3.89,306.03,1.1971,0.4,412.88,,,,,0.18851,0.17369
1992. 7. 2,3.46,300.88,1.1363,0.39,411.77,,,,,0.17899,0.16785
1992. 7. 6,3.15,302.4,1.1523,0.39,413.84,,,,,0.1817,0.16954
1992. 7. 7,3.35,296.27,1.0819,0.37,409.16,,,,,0.17065,0.16267
1992. 7. 8,4.19,297.56,1.0958,0.38,410.28,,,,,0.17288,0.16409
1992. 7. 9,3.46,302.19,1.1466,0.39,414.23,,,,,0.18095,0.16919
1992. 7. 10,3.2,302.83,1.1536,0.39,414.62,,,,,0.1821,0.16991
1992. 7. 13,3.28,304.98,1.1772,0.4,414.87,,,,,0.18598,0.17232
1992. 7. 14,3.25,309.24,1.2262,0.41,417.68,,,,,0.19377,0.17714
1992. 7. 15,3.38,309.39,1.2277,0.41,417.1,,,,,0.19406,0.17731
1992. 7. 16,3.32,311.28,1.2499,0.41,417.54,,,,,0.19761,0.17947
1992. 7. 17,3.12,305.54,1.1804,0.4,415.62,,,,,0.18668,0.17285
1992. 7. 20,3.32,300.45,1.1205,0.38,413.75,,,,,0.17735,0.1671
1992. 7. 21,3.15,305.1,1.1722,0.4,413.76,,,,,0.18558,0.17227
1992. 7. 22,3.4,301.17,1.1266,0.39,410.93,,,,,0.17841,0.16783
1992. 7. 23,3.29,302.49,1.1412,0.39,412.08,,,,,0.18076,0.1693
1992. 7. 24,3.08,303.42,1.1514,0.39,411.6,,,,,0.18243,0.17034
1992. 7. 27,3.29,301.84,1.1325,0.39,411.54,,,,,0.17958,0.16857
1992. 7. 28,3.27,306.76,1.1876,0.4,417.52,,,,,0.18836,0.17406
1992. 7. 29,3.15,310.11,1.2262,0.41,422.23,,,,,0.19453,0.17787
1992. 7. 30,3.17,310.93,1.2356,0.41,423.92,,,,,0.19607,0.17881
1992. 7. 31,3.37,310.89,1.2348,0.41,424.21,,,,,0.196,0.17876
1992. 8. 3,3.37,312.75,1.256,0.41,425.09,,,,,0.19951,0.1809
