DATE,DEF,NDX 100 (Stooq ^NDX),"TQQQ (YF+SS 1%, ER 0.95%)","QLD (YF+SS 1%, ER 0.95%)",S&P 500 (Stooq ^SPX),1.00%,<- SS,0.95%,<- ER,TQQQ NO TAX,QLD NO TAX
2018. 1. 12,0.13,6758.54,6.7829,10.2,2786.24,,,,,6.7829,10.20375
2018. 1. 16,0.13,6737.14,6.7304,10.15,2776.42,,,,,6.7304,10.14625
2018. 1. 17,0.13,6810.28,6.9425,10.37,2802.56,,,,,6.9425,10.365
2018. 1. 18,0.13,6811.38,6.9492,10.37,2798.03,,,,,6.94915,10.36875
2018. 1. 19,0.13,6834.33,7.0159,10.44,2810.3,,,,,7.01585,10.435
2018. 1. 22,0.13,6906.28,7.235,10.66,2832.97,,,,,7.235,10.65625
2018. 1. 23,0.13,6963.46,7.4184,10.83,2839.13,,,,,7.41835,10.83
2018. 1. 24,0.13,6919.35,7.2679,10.7,2837.54,,,,,7.2679,10.6975
2018. 1. 25,0.13,6916.3,7.2588,10.68,2839.25,,,,,7.25875,10.68375
2018. 1. 26,0.13,7022.97,7.5829,11,2872.87,,,,,7.5829,10.99625
2018. 1. 29,0.13,6988.32,7.4825,10.9,2853.53,,,,,7.4825,10.8975
2018. 1. 30,0.13,6930.73,7.2913,10.72,2822.43,,,,,7.29125,10.7225
2018. 1. 31,0.13,6949.99,7.3813,10.8,2823.81,,,,,7.38125,10.80125
2018. 2. 1,0.13,6901.5,7.1967,10.62,2821.98,,,,,7.19665,10.6225
2018. 2. 2,0.13,6760.29,6.7571,10.19,2762.13,,,,,6.7571,10.1925
2018. 2. 5,0.13,6495.92,5.9771,9.4,2648.94,,,,,5.9771,9.40375
2018. 2. 6,0.13,6665.98,6.4379,9.88,2695.14,,,,,6.4379,9.8825
2018. 2. 7,0.13,6582.02,6.1834,9.63,2681.66,,,,,6.18335,9.63
2018. 2. 8,0.13,6306.1,5.4171,8.83,2581,,,,,5.4171,8.8275
2018. 2. 9,0.13,6412.68,5.6721,9.12,2619.55,,,,,5.6721,9.1175
2018. 2. 12,0.13,6523.85,5.9896,9.45,2656,,,,,5.9896,9.45
2018. 2. 13,0.13,6553.86,6.0625,9.54,2662.94,,,,,6.0625,9.535
2018. 2. 14,0.13,6675.03,6.4175,9.9,2698.63,,,,,6.4175,9.9
2018. 2. 15,0.13,6794.92,6.7529,10.26,2731.2,,,,,6.7529,10.255
2018. 2. 16,0.13,6770.66,6.6775,10.18,2732.22,,,,,6.6775,10.17875
2018. 2. 20,0.13,6779.7,6.7109,10.2,2716.26,,,,,6.71085,10.20375
2018. 2. 21,0.13,6759.26,6.6504,10.14,2701.33,,,,,6.6504,10.14375
2018. 2. 22,0.13,6761.85,6.6517,10.16,2703.96,,,,,6.65165,10.155
2018. 2. 23,0.13,6896.6,7.0479,10.56,2747.3,,,,,7.0479,10.55625
2018. 2. 26,0.13,6989.1,7.3309,10.83,2779.6,,,,,7.33085,10.83375
2018. 2. 27,0.13,6900.35,7.0684,10.56,2744.28,,,,,7.06835,10.56375
2018. 2. 28,0.13,6854.42,6.9263,10.43,2713.83,,,,,6.92625,10.43125
2018. 3. 1,0.13,6750.54,6.5929,10.1,2677.67,,,,,6.5929,10.10125
2018. 3. 2,0.13,6811.04,6.7742,10.28,2691.25,,,,,6.77415,10.2775
2018. 3. 5,0.13,6881.28,6.9867,10.5,2720.94,,,,,6.98665,10.5
2018. 3. 6,0.13,6913.02,7.075,10.59,2728.12,,,,,7.075,10.5875
2018. 3. 7,0.13,6929.39,7.1279,10.64,2726.8,,,,,7.1279,10.635
2018. 3. 8,0.13,6966.43,7.2342,10.75,2738.97,,,,,7.23415,10.75375
2018. 3. 9,0.13,7101.18,7.6554,11.16,2786.57,,,,,7.6554,11.1625
2018. 3. 12,0.13,7131.12,7.77,11.27,2783.02,,,,,7.77,11.265
2018. 3. 13,0.13,7046.51,7.4879,10.99,2765.31,,,,,7.4879,10.9875
2018. 3. 14,0.13,7040.98,7.4625,10.98,2749.48,,,,,7.4625,10.97875
2018. 3. 15,0.13,7030.97,7.4292,10.95,2747.33,,,,,7.42915,10.94875
2018. 3. 16,0.13,7019.95,7.38,10.9,2752.01,,,,,7.38,10.89625
2018. 3. 19,0.13,6864.88,6.9167,10.43,2712.92,,,,,6.91665,10.43375
2018. 3. 20,0.13,6885.92,6.9675,10.49,2716.94,,,,,6.9675,10.4925
2018. 3. 21,0.13,6853.45,6.8667,10.4,2711.93,,,,,6.86665,10.395
2018. 3. 22,0.13,6682.26,6.365,9.88,2643.69,,,,,6.365,9.8775
2018. 3. 23,0.13,6508.09,5.8509,9.35,2588.26,,,,,5.85085,9.3525
2018. 3. 26,0.13,6753.83,6.5092,10.06,2658.55,,,,,6.50915,10.05625
2018. 3. 27,0.13,6529.84,5.885,9.39,2612.62,,,,,5.885,9.3925
2018. 3. 28,0.13,6460.81,5.6821,9.19,2605,,,,,5.6821,9.1875
2018. 3. 29,0.13,6581.13,5.9967,9.53,2640.87,,,,,5.99665,9.525
2018. 4. 2,0.13,6390.84,5.4642,8.98,2581.88,,,,,5.46415,8.9775
2018. 4. 3,0.13,6458.83,5.6475,9.17,2614.45,,,,,5.6475,9.17
2018. 4. 4,0.13,6560.06,5.9146,9.41,2644.69,,,,,5.9146,9.4075
2018. 4. 5,0.13,6594.84,6.0075,9.56,2662.84,,,,,6.0075,9.56
2018. 4. 6,0.13,6433.21,5.5592,9.1,2604.47,,,,,5.55915,9.09875
2018. 4. 9,0.13,6472.34,5.6704,9.21,2613.16,,,,,5.6704,9.205
2018. 4. 10,0.13,6615.87,6.045,9.61,2656.87,,,,,6.045,9.61
2018. 4. 11,0.13,6583.44,5.9434,9.51,2642.19,,,,,5.94335,9.51
2018. 4. 12,0.13,6656.26,6.1517,9.73,2663.99,,,,,6.15165,9.7275
2018. 4. 13,0.13,6628.34,6.0604,9.64,2656.3,,,,,6.0604,9.63625
2018. 4. 16,0.13,6675.18,6.1942,9.77,2677.84,,,,,6.19415,9.7725
2018. 4. 17,0.13,6816.37,6.5904,10.19,2706.39,,,,,6.5904,10.18875
2018. 4. 18,0.13,6833.21,6.6363,10.24,2708.64,,,,,6.63625,10.23625
2018. 4. 19,0.13,6774.89,6.4559,10.06,2693.13,,,,,6.45585,10.0625
2018. 4. 20,0.13,6667.75,6.1463,9.74,2670.14,,,,,6.14625,9.735
2018. 4. 23,0.13,6648.8,6.0979,9.68,2670.29,,,,,6.0979,9.6825
2018. 4. 24,0.13,6509.05,5.7092,9.27,2634.56,,,,,5.70915,9.27125
2018. 4. 25,0.13,6513.94,5.7317,9.3,2639.4,,,,,5.73165,9.3
2018. 4. 26,0.13,6649.65,6.0871,9.68,2666.94,,,,,6.0871,9.675
2018. 4. 27,0.13,6656.35,6.1013,9.69,2669.91,,,,,6.10125,9.69125
2018. 4. 30,0.13,6605.57,5.9713,9.55,2648.05,,,,,5.97125,9.55
2018. 5. 1,0.13,6681.96,6.1654,9.76,2654.8,,,,,6.1654,9.76
2018. 5. 2,0.13,6644.48,6.0579,9.66,2635.67,,,,,6.0579,9.655
2018. 5. 3,0.13,6643.48,6.0584,9.65,2629.73,,,,,6.05835,9.64875
2018. 5. 4,0.13,6769.12,6.3992,10.01,2663.42,,,,,6.39915,10.0125
2018. 5. 7,0.13,6821.87,6.5513,10.17,2672.63,,,,,6.55125,10.17
2018. 5. 8,0.13,6815.48,6.5296,10.15,2671.92,,,,,6.5296,10.1475
2018. 5. 9,0.13,6893.21,6.7484,10.38,2697.79,,,,,6.74835,10.3825
2018. 5. 10,0.13,6963.55,6.9584,10.59,2723.07,,,,,6.95835,10.5925
2018. 5. 11,0.13,6952.56,6.9375,10.57,2727.72,,,,,6.9375,10.5725
2018. 5. 14,0.13,6964.37,6.9684,10.6,2730.13,,,,,6.96835,10.60375
2018. 5. 15,0.13,6888.54,6.7429,10.37,2711.45,,,,,6.7429,10.37
2018. 5. 16,0.13,6929.97,6.8671,10.51,2722.46,,,,,6.8671,10.50875
2018. 5. 17,0.13,6901.63,6.7896,10.42,2720.13,,,,,6.7896,10.42
2018. 5. 18,0.13,6866.25,6.6809,10.31,2712.97,,,,,6.68085,10.3125
2018. 5. 21,0.13,6905.53,6.7975,10.43,2733.01,,,,,6.7975,10.4325
2018. 5. 22,0.13,6893.62,6.7621,10.4,2724.44,,,,,6.7621,10.4025
2018. 5. 23,0.13,6953.63,6.9321,10.58,2733.29,,,,,6.9321,10.57625
2018. 5. 24,0.13,6949.7,6.9263,10.57,2727.76,,,,,6.92625,10.56625
2018. 5. 25,0.13,6960.92,6.9438,10.59,2721.33,,,,,6.94375,10.58875
2018. 5. 29,0.13,6926.54,6.855,10.49,2689.86,,,,,6.855,10.49375
2018. 5. 30,0.13,6976.37,7.0013,10.64,2724.01,,,,,7.00125,10.64
2018. 5. 31,0.13,6967.73,6.9863,10.63,2705.27,,,,,6.98625,10.62625
2018. 6. 1,0.13,7083.93,7.3113,10.96,2734.62,,,,,7.31125,10.96
2018. 6. 4,0.13,7143.57,7.4988,11.15,2746.87,,,,,7.49875,11.1475
2018. 6. 5,0.13,7166.75,7.5763,11.22,2748.8,,,,,7.57625,11.22
2018. 6. 6,0.13,7210.08,7.7013,11.35,2772.35,,,,,7.70125,11.35375
2018. 6. 7,0.13,7152.83,7.5225,11.18,2770.37,,,,,7.5225,11.17625
2018. 6. 8,0.13,7152.62,7.5175,11.17,2779.03,,,,,7.5175,11.165
2018. 6. 11,0.13,7168.48,7.5763,11.23,2782,,,,,7.57625,11.225
2018. 6. 12,0.13,7209.18,7.6963,11.34,2786.85,,,,,7.69625,11.34375
2018. 6. 13,0.13,7205.26,7.6875,11.33,2775.63,,,,,7.6875,11.33375
2018. 6. 14,0.13,7279.59,7.9213,11.57,2782.49,,,,,7.92125,11.57
2018. 6. 15,0.13,7255.76,7.8425,11.49,2779.66,,,,,7.8425,11.48875
2018. 6. 18,0.13,7251.41,7.825,11.48,2773.75,,,,,7.825,11.475
2018. 6. 19,0.13,7228.04,7.755,11.41,2762.59,,,,,7.755,11.405
2018. 6. 20,0.13,7280.71,7.9175,11.57,2767.32,,,,,7.9175,11.5675
2018. 6. 21,0.13,7217.49,7.7125,11.36,2749.76,,,,,7.7125,11.3625
2018. 6. 22,0.13,7197.51,7.635,11.29,2754.88,,,,,7.635,11.29
2018. 6. 25,0.13,7038.17,7.1475,10.8,2717.07,,,,,7.1475,10.79875
2018. 6. 26,0.13,7068.2,7.2263,10.89,2723.06,,,,,7.22625,10.89
2018. 6. 27,0.13,6969.67,6.9363,10.58,2699.63,,,,,6.93625,10.58125
2018. 6. 28,0.13,7031.6,7.1063,10.77,2716.31,,,,,7.10625,10.77375
2018. 6. 29,0.13,7040.8,7.1388,10.81,2718.37,,,,,7.13875,10.8075
2018. 7. 2,0.13,7097.82,7.2988,10.97,2726.71,,,,,7.29875,10.97
2018. 7. 3,0.13,7014.55,7.0475,10.71,2713.22,,,,,7.0475,10.71375
2018. 7. 5,0.13,7101.05,7.3063,10.98,2736.61,,,,,7.30625,10.98
2018. 7. 6,0.13,7207.33,7.635,11.31,2759.82,,,,,7.635,11.31125
2018. 7. 9,0.13,7276,7.8475,11.52,2784.17,,,,,7.8475,11.52125
2018. 7. 10,0.13,7282.6,7.8663,11.54,2793.84,,,,,7.86625,11.53875
2018. 7. 11,0.13,7243.98,7.7513,11.42,2774.02,,,,,7.75125,11.42375
2018. 7. 12,0.13,7366.25,8.1338,11.8,2798.29,,,,,8.13375,11.79875
2018. 7. 13,0.13,7375.82,8.1575,11.82,2801.31,,,,,8.1575,11.8225
2018. 7. 16,0.13,7357.9,8.1025,11.77,2798.43,,,,,8.1025,11.77125
2018. 7. 17,0.13,7403.89,8.2525,11.92,2809.55,,,,,8.2525,11.91875
2018. 7. 18,0.13,7390.13,8.2,11.87,2815.62,,,,,8.2,11.86625
2018. 7. 19,0.13,7352.36,8.0788,11.75,2804.49,,,,,8.07875,11.75
2018. 7. 20,0.13,7350.23,8.0675,11.74,2801.83,,,,,8.0675,11.735
2018. 7. 23,0.13,7371.78,8.1375,11.81,2806.98,,,,,8.1375,11.80875
2018. 7. 24,0.13,7406.25,8.2413,11.91,2820.4,,,,,8.24125,11.91125
2018. 7. 25,0.13,7508.59,8.585,12.24,2846.07,,,,,8.585,12.2375
2018. 7. 26,0.13,7400.75,8.21,11.88,2837.44,,,,,8.21,11.8825
2018. 7. 27,0.13,7296.78,7.8675,11.56,2818.82,,,,,7.8675,11.555
2018. 7. 30,0.13,7193.1,7.5288,11.22,2802.6,,,,,7.52875,11.22375
2018. 7. 31,0.13,7231.98,7.6788,11.35,2816.29,,,,,7.67875,11.3525
2018. 8. 1,0.13,7272.89,7.7838,11.47,2813.36,,,,,7.78375,11.4725
2018. 8. 2,0.13,7372.15,8.0938,11.79,2827.22,,,,,8.09375,11.785
2018. 8. 3,0.13,7395.49,8.1663,11.85,2840.35,,,,,8.16625,11.8525
2018. 8. 6,0.13,7439,8.3163,12,2850.4,,,,,8.31625,12
2018. 8. 7,0.13,7462.65,8.3975,12.07,2858.45,,,,,8.3975,12.07125
2018. 8. 8,0.13,7469.55,8.42,12.09,2857.7,,,,,8.42,12.0925
2018. 8. 9,0.13,7466.96,8.4125,12.08,2853.58,,,,,8.4125,12.0825
2018. 8. 10,0.13,7408.3,8.2163,11.9,2833.28,,,,,8.21625,11.9025
2018. 8. 13,0.13,7401.17,8.1925,11.88,2821.93,,,,,8.1925,11.88125
2018. 8. 14,0.13,7447.17,8.3438,12.03,2839.96,,,,,8.34375,12.025
2018. 8. 15,0.13,7354.66,8.04,11.74,2818.37,,,,,8.04,11.73625
2018. 8. 16,0.13,7374.3,8.1138,11.8,2840.69,,,,,8.11375,11.80125
2018. 8. 17,0.13,7377.54,8.1125,11.81,2850.13,,,,,8.1125,11.8075
2018. 8. 20,0.13,7371.42,8.0963,11.79,2857.05,,,,,8.09625,11.79
2018. 8. 21,0.13,7397.23,8.18,11.87,2862.96,,,,,8.18,11.87125
2018. 8. 22,0.13,7424.6,8.275,11.96,2861.82,,,,,8.275,11.95875
2018. 8. 23,0.13,7413.84,8.2338,11.92,2856.98,,,,,8.23375,11.92375
2018. 8. 24,0.13,7485.4,8.4625,12.14,2874.69,,,,,8.4625,12.1425
2018. 8. 27,0.13,7559.13,8.7175,12.39,2896.74,,,,,8.7175,12.3875
2018. 8. 28,0.13,7570.25,8.7563,12.43,2897.52,,,,,8.75625,12.42625
2018. 8. 29,0.13,7660.18,9.0625,12.71,2914.04,,,,,9.0625,12.71375
2018. 8. 30,0.13,7642.67,9.0113,12.66,2901.13,,,,,9.01125,12.66
2018. 8. 31,0.13,7654.55,9.0375,12.69,2901.52,,,,,9.0375,12.69
2018. 9. 4,0.13,7622.32,8.93,12.59,2896.72,,,,,8.93,12.5875
2018. 9. 5,0.13,7523.26,8.575,12.26,2888.6,,,,,8.575,12.26125
2018. 9. 6,0.13,7453.17,8.3413,12.04,2878.05,,,,,8.34125,12.04
2018. 9. 7,0.13,7430.26,8.2588,11.97,2871.68,,,,,8.25875,11.965
2018. 9. 10,0.13,7447.68,8.3313,12.02,2877.13,,,,,8.33125,12.02
2018. 9. 11,0.13,7507.87,8.5163,12.2,2887.89,,,,,8.51625,12.2025
2018. 9. 12,0.13,7488.06,8.4425,12.14,2888.92,,,,,8.4425,12.1375
2018. 9. 13,0.13,7561.69,8.6925,12.38,2904.18,,,,,8.6925,12.375
2018. 9. 14,0.13,7545.5,8.6263,12.31,2904.98,,,,,8.62625,12.31
2018. 9. 17,0.13,7434.73,8.2625,11.96,2888.8,,,,,8.2625,11.9625
2018. 9. 18,0.13,7494.4,8.4588,12.15,2904.31,,,,,8.45875,12.15375
2018. 9. 19,0.13,7490.32,8.44,12.14,2907.95,,,,,8.44,12.13875
2018. 9. 20,0.13,7569.04,8.705,12.39,2930.75,,,,,8.705,12.39125
2018. 9. 21,0.13,7531.07,8.5663,12.27,2929.67,,,,,8.56625,12.265
2018. 9. 24,0.13,7548.75,8.64,12.33,2919.37,,,,,8.64,12.325
2018. 9. 25,0.13,7563.19,8.675,12.36,2915.56,,,,,8.675,12.36375
2018. 9. 26,0.13,7563.09,8.6663,12.37,2905.97,,,,,8.66625,12.3725
2018. 9. 27,0.13,7629.57,8.9063,12.58,2914,,,,,8.90625,12.5825
2018. 9. 28,0.13,7627.65,8.8925,12.59,2913.98,,,,,8.8925,12.585
2018. 10. 1,0.13,7645.45,8.9438,12.63,2924.59,,,,,8.94375,12.62625
2018. 10. 2,0.13,7628.28,8.8925,12.57,2923.43,,,,,8.8925,12.5675
2018. 10. 3,0.13,7637.43,8.9188,12.6,2925.51,,,,,8.91875,12.60375
2018. 10. 4,0.13,7490,8.41,12.12,2901.61,,,,,8.41,12.115
2018. 10. 5,0.13,7399.01,8.0938,11.83,2885.57,,,,,8.09375,11.825
2018. 10. 8,0.13,7352.82,7.9488,11.67,2884.43,,,,,7.94875,11.6725
2018. 10. 9,0.13,7371.62,8.01,11.74,2880.34,,,,,8.01,11.7375
2018. 10. 10,0.13,7044.5,6.9713,10.72,2785.68,,,,,6.97125,10.715
2018. 10. 11,0.13,6964.03,6.6888,10.45,2728.37,,,,,6.68875,10.44625
2018. 10. 12,0.13,7157.21,7.2538,11.03,2767.13,,,,,7.25375,11.02625
2018. 10. 15,0.13,7068.67,6.98,10.75,2750.79,,,,,6.98,10.74625
2018. 10. 16,0.13,7276.43,7.5813,11.37,2809.92,,,,,7.58125,11.37125
2018. 10. 17,0.13,7278.63,7.6063,11.39,2809.21,,,,,7.60625,11.385
2018. 10. 18,0.13,7116.09,7.0788,10.88,2768.78,,,,,7.07875,10.87625
2018. 10. 19,0.13,7107.23,7.05,10.84,2767.78,,,,,7.05,10.835
2018. 10. 22,0.13,7141.21,7.1563,10.95,2755.88,,,,,7.15625,10.94875
2018. 10. 23,0.13,7118.67,7.0775,10.88,2740.69,,,,,7.0775,10.8775
2018. 10. 24,0.13,6789.15,6.115,9.87,2656.1,,,,,6.115,9.8675
2018. 10. 25,0.13,7016.39,6.7425,10.53,2705.57,,,,,6.7425,10.53375
2018. 10. 26,0.13,6852.4,6.2188,10.03,2658.69,,,,,6.21875,10.02875
2018. 10. 29,0.13,6713.9,5.8863,9.64,2641.25,,,,,5.88625,9.6425
2018. 10. 30,0.13,6810.12,6.1138,9.9,2682.63,,,,,6.11375,9.89625
2018. 10. 31,0.13,6967.1,6.5263,10.35,2711.74,,,,,6.52625,10.35125
2018. 11. 1,0.13,7069.17,6.8113,10.65,2740.37,,,,,6.81125,10.65
2018. 11. 2,0.13,6965.29,6.5063,10.33,2723.06,,,,,6.50625,10.32875
2018. 11. 5,0.13,6937.09,6.4425,10.26,2738.31,,,,,6.4425,10.2575
2018. 11. 6,0.13,6988.85,6.5788,10.41,2755.45,,,,,6.57875,10.41375
2018. 11. 7,0.13,7203.13,7.1838,11.06,2813.89,,,,,7.18375,11.0575
2018. 11. 8,0.13,7158.59,7.0613,10.92,2806.83,,,,,7.06125,10.9225
2018. 11. 9,0.13,7039.15,6.7025,10.55,2781.01,,,,,6.7025,10.55125
2018. 11. 12,0.13,6829.1,6.1138,9.93,2726.22,,,,,6.11375,9.9275
2018. 11. 13,0.13,6830.91,6.1113,9.93,2722.18,,,,,6.11125,9.93125
2018. 11. 14,0.13,6769.87,5.9563,9.77,2701.58,,,,,5.95625,9.765
2018. 11. 15,0.13,6890.45,6.275,10.11,2730.2,,,,,6.275,10.1125
2018. 11. 16,0.13,6867.02,6.2063,10.05,2736.27,,,,,6.20625,10.045
2018. 11. 19,0.13,6642.92,5.6113,9.38,2690.73,,,,,5.61125,9.38375
2018. 11. 20,0.13,6526.96,5.3,9.06,2641.89,,,,,5.3,9.055
2018. 11. 21,0.13,6575.66,5.4188,9.18,2649.93,,,,,5.41875,9.18375
2018. 11. 23,0.13,6527.35,5.2988,9.05,2632.56,,,,,5.29875,9.05
2018. 11. 26,0.13,6678.34,5.6625,9.47,2673.45,,,,,5.6625,9.4675
2018. 11. 27,0.13,6701.04,5.7213,9.54,2682.17,,,,,5.72125,9.535
2018. 11. 28,0.13,6913.33,6.2638,10.14,2743.79,,,,,6.26375,10.135
2018. 11. 29,0.13,6892.4,6.2063,10.08,2737.8,,,,,6.20625,10.075
2018. 11. 30,0.13,6949.01,6.3363,10.23,2760.17,,,,,6.33625,10.23
2018. 12. 3,0.13,7062.13,6.6613,10.57,2790.37,,,,,6.66125,10.57
2018. 12. 4,0.13,6795.21,5.9288,9.76,2700.06,,,,,5.92875,9.76
2018. 12. 6,0.13,6838.85,6.015,9.9,2695.95,,,,,6.015,9.9
2018. 12. 7,0.13,6613.28,5.4263,9.24,2633.08,,,,,5.42625,9.2375
2018. 12. 10,0.13,6682.74,5.5963,9.44,2637.72,,,,,5.59625,9.435
2018. 12. 11,0.13,6704.24,5.6563,9.49,2636.78,,,,,5.65625,9.49375
2018. 12. 12,0.13,6763.96,5.7988,9.66,2651.07,,,,,5.79875,9.6625
2018. 12. 13,0.13,6767.97,5.8,9.67,2650.54,,,,,5.8,9.67125
2018. 12. 14,0.13,6594.96,5.3625,9.17,2599.95,,,,,5.3625,9.17125
2018. 12. 17,0.13,6448.39,5.0163,8.79,2545.94,,,,,5.01625,8.78625
2018. 12. 18,0.13,6491.52,5.1,8.88,2546.16,,,,,5.1,8.8825
2018. 12. 19,0.13,6342.97,4.7313,8.46,2506.96,,,,,4.73125,8.4625
2018. 12. 20,0.13,6243.2,4.5413,8.21,2467.42,,,,,4.54125,8.20875
2018. 12. 21,0.13,6046.56,4.1025,7.68,2416.62,,,,,4.1025,7.68
2018. 12. 24,0.13,5899.35,3.7988,7.32,2351.1,,,,,3.79875,7.315
2018. 12. 26,0.13,6262.77,4.4825,8.21,2467.7,,,,,4.4825,8.21
2018. 12. 27,0.13,6288.3,4.5463,8.28,2488.83,,,,,4.54625,8.27875
2018. 12. 28,0.13,6285.27,4.5275,8.27,2485.74,,,,,4.5275,8.26875
2018. 12. 31,0.13,6329.96,4.63,8.4,2506.85,,,,,4.63,8.39875
2019. 1. 2,0.13,6360.87,4.6963,8.46,2510.03,,,,,4.69625,8.46125
2019. 1. 3,0.13,6147.13,4.2413,7.89,2447.89,,,,,4.24125,7.89375
2019. 1. 4,0.13,6422.67,4.7838,8.6,2531.94,,,,,4.78375,8.60125
2019. 1. 7,0.13,6488.25,4.9363,8.78,2549.69,,,,,4.93625,8.775
2019. 1. 8,0.13,6551.85,5.0788,8.95,2574.41,,,,,5.07875,8.95
2019. 1. 9,0.13,6600.69,5.1988,9.08,2584.96,,,,,5.19875,9.08375
2019. 1. 10,0.13,6620.94,5.2488,9.13,2596.64,,,,,5.24875,9.13
2019. 1. 11,0.13,6601.4,5.1863,9.08,2596.26,,,,,5.18625,9.075
2019. 1. 14,0.13,6541.04,5.0513,8.91,2582.61,,,,,5.05125,8.91
2019. 1. 15,0.13,6669.64,5.3313,9.26,2610.3,,,,,5.33125,9.26125
2019. 1. 16,0.13,6668.56,5.3388,9.26,2616.1,,,,,5.33875,9.25875
2019. 1. 17,0.13,6718.45,5.4638,9.39,2635.96,,,,,5.46375,9.39
2019. 1. 18,0.13,6784.61,5.6138,9.57,2670.71,,,,,5.61375,9.5725
2019. 1. 22,0.13,6646.81,5.3038,9.21,2632.9,,,,,5.30375,9.2075
2019. 1. 23,0.13,6658.76,5.3088,9.22,2638.7,,,,,5.30875,9.21875
2019. 1. 24,0.13,6702.55,5.4025,9.33,2642.33,,,,,5.4025,9.33
2019. 1. 25,0.13,6787.37,5.595,9.57,2664.76,,,,,5.595,9.565
2019. 1. 28,0.13,6697.09,5.3888,9.32,2643.85,,,,,5.38875,9.32
2019. 1. 29,0.13,6632.79,5.2363,9.14,2640,,,,,5.23625,9.1375
2019. 1. 30,0.13,6807.91,5.6288,9.62,2681.05,,,,,5.62875,9.62
2019. 1. 31,0.13,6906.84,5.8763,9.9,2704.1,,,,,5.87625,9.89625
2019. 2. 1,0.13,6875.52,5.8013,9.81,2706.53,,,,,5.80125,9.805
2019. 2. 4,0.13,6959.96,6.0138,10.05,2724.87,,,,,6.01375,10.04625
2019. 2. 5,0.13,7023.52,6.1725,10.23,2737.7,,,,,6.1725,10.2275
2019. 2. 6,0.13,6997.62,6.1238,10.16,2731.61,,,,,6.12375,10.16
2019. 2. 7,0.13,6904.98,5.8738,9.89,2706.05,,,,,5.87375,9.88625
2019. 2. 8,0.13,6913.13,5.9038,9.92,2707.88,,,,,5.90375,9.9175
2019. 2. 11,0.13,6909.19,5.89,9.91,2709.8,,,,,5.89,9.905
2019. 2. 12,0.13,7014.67,6.145,10.2,2744.73,,,,,6.145,10.20125
2019. 2. 13,0.13,7015.88,6.1575,10.21,2753.03,,,,,6.1575,10.2075
2019. 2. 14,0.13,7022.42,6.18,10.23,2745.73,,,,,6.18,10.225
2019. 2. 15,0.13,7055.18,6.2538,10.32,2775.6,,,,,6.25375,10.32125
2019. 2. 19,0.13,7066.61,6.2913,10.36,2779.76,,,,,6.29125,10.355
2019. 2. 20,0.13,7062.34,6.2863,10.35,2784.7,,,,,6.28625,10.35375
2019. 2. 21,0.13,7035.16,6.215,10.27,2774.88,,,,,6.215,10.26875
2019. 2. 22,0.13,7090.63,6.35,10.43,2792.67,,,,,6.35,10.425
2019. 2. 25,0.13,7115.43,6.42,10.5,2796.11,,,,,6.42,10.5
2019. 2. 26,0.13,7123.22,6.44,10.52,2793.9,,,,,6.44,10.51875
2019. 2. 27,0.13,7117,6.42,10.5,2792.38,,,,,6.42,10.50125
2019. 2. 28,0.13,7097.53,6.38,10.45,2784.49,,,,,6.38,10.4525
2019. 3. 1,0.13,7151.57,6.5075,10.61,2803.69,,,,,6.5075,10.605
2019. 3. 4,0.13,7150.83,6.5088,10.6,2792.81,,,,,6.50875,10.6
2019. 3. 5,0.13,7156.79,6.525,10.62,2789.65,,,,,6.525,10.615
2019. 3. 6,0.13,7112.47,6.4125,10.49,2771.45,,,,,6.4125,10.49
2019. 3. 7,0.13,7026.88,6.1788,10.24,2748.93,,,,,6.17875,10.235
2019. 3. 8,0.13,7015.69,6.1438,10.2,2743.07,,,,,6.14375,10.19875
2019. 3. 11,0.13,7164.02,6.5275,10.63,2783.3,,,,,6.5275,10.625
2019. 3. 12,0.13,7201.28,6.6338,10.75,2791.52,,,,,6.63375,10.745
2019. 3. 13,0.13,7256.98,6.7775,10.9,2810.92,,,,,6.7775,10.90125
2019. 3. 14,0.13,7243.01,6.7475,10.86,2808.48,,,,,6.7475,10.86
2019. 3. 15,0.13,7306.99,6.915,11.05,2822.48,,,,,6.915,11.04625
2019. 3. 18,0.13,7326.28,6.9775,11.1,2832.94,,,,,6.9775,11.10375
2019. 3. 19,0.13,7349.28,7.0475,11.18,2832.57,,,,,7.0475,11.18375
2019. 3. 20,0.13,7380.75,7.1263,11.27,2824.23,,,,,7.12625,11.2675
2019. 3. 21,0.13,7493.27,7.4563,11.61,2854.88,,,,,7.45625,11.61375
2019. 3. 22,0.13,7326.06,6.9688,11.09,2800.71,,,,,6.96875,11.09375
2019. 3. 25,0.13,7316.96,6.925,11.07,2798.36,,,,,6.925,11.065
2019. 3. 26,0.13,7351.15,7.02,11.17,2818.46,,,,,7.02,11.165
2019. 3. 27,0.13,7308.19,6.8825,11.03,2805.37,,,,,6.8825,11.0325
2019. 3. 28,0.13,7320.47,6.9263,11.07,2815.44,,,,,6.92625,11.0675
2019. 3. 29,0.13,7378.77,7.0825,11.24,2834.4,,,,,7.0825,11.24125
2019. 4. 1,0.13,7478.42,7.3613,11.54,2867.19,,,,,7.36125,11.5425
2019. 4. 2,0.13,7499.64,7.4425,11.61,2867.24,,,,,7.4425,11.61375
